Latitude,Longitude,Garbage Percentage,Threshold,Timestamp
30.515,76.659,0.0,50.0,2025-03-31 07:40:29
30.517,76.661,0.0,5.0,2025-03-31 07:40:37
30.519,76.66,0.0,4.0,2025-03-31 07:40:37
30.515,76.659,0.0,50.0,2025-03-31 07:40:37
30.517,76.661,0.0,5.0,2025-03-31 07:40:39
30.519,76.66,0.0,4.0,2025-03-31 07:40:39
30.515,76.659,0.0,50.0,2025-03-31 07:40:39
30.517,76.661,0.0,5.0,2025-03-31 07:40:47
30.519,76.66,0.0,4.0,2025-03-31 07:40:47
30.515,76.659,0.0,50.0,2025-03-31 07:40:47
30.517,76.661,0.0,5.0,2025-03-31 07:40:49
30.519,76.66,0.0,4.0,2025-03-31 07:40:49
30.515,76.659,0.0,50.0,2025-03-31 07:40:49
30.517,76.661,0.0,5.0,2025-03-31 07:40:57
30.519,76.66,0.0,4.0,2025-03-31 07:40:57
30.515,76.659,0.0,50.0,2025-03-31 07:40:57
30.517,76.661,0.0,5.0,2025-03-31 07:40:59
30.519,76.66,0.0,4.0,2025-03-31 07:40:59
30.515,76.659,0.0,50.0,2025-03-31 07:40:59
30.517,76.661,0.0,5.0,2025-03-31 07:41:07
30.519,76.66,0.0,4.0,2025-03-31 07:41:07
30.515,76.659,0.0,50.0,2025-03-31 07:41:07
30.517,76.661,0.0,5.0,2025-03-31 07:41:09
30.519,76.66,0.0,4.0,2025-03-31 07:41:09
30.515,76.659,0.0,50.0,2025-03-31 07:41:09
30.517,76.661,0.0,5.0,2025-03-31 07:41:17
30.519,76.66,0.0,4.0,2025-03-31 07:41:17
30.515,76.659,0.0,50.0,2025-03-31 07:41:17
30.517,76.661,0.0,5.0,2025-03-31 07:41:19
30.519,76.66,0.0,4.0,2025-03-31 07:41:19
30.515,76.659,0.0,50.0,2025-03-31 07:41:19
30.517,76.661,0.0,5.0,2025-03-31 07:41:27
30.519,76.66,0.0,4.0,2025-03-31 07:41:27
30.515,76.659,0.0,50.0,2025-03-31 07:41:27
30.517,76.661,0.0,5.0,2025-03-31 07:41:29
30.519,76.66,0.0,4.0,2025-03-31 07:41:29
30.515,76.659,0.0,50.0,2025-03-31 07:41:29
30.517,76.661,0.0,5.0,2025-03-31 07:41:37
30.519,76.66,0.0,4.0,2025-03-31 07:41:37
30.515,76.659,0.0,50.0,2025-03-31 07:41:37
30.517,76.661,0.0,5.0,2025-03-31 07:41:39
30.519,76.66,0.0,4.0,2025-03-31 07:41:39
30.515,76.659,0.0,50.0,2025-03-31 07:41:39
30.517,76.661,0.0,5.0,2025-03-31 07:41:47
30.519,76.66,0.0,4.0,2025-03-31 07:41:47
30.515,76.659,0.0,50.0,2025-03-31 07:41:47
30.517,76.661,0.0,5.0,2025-03-31 07:41:49
30.519,76.66,0.0,4.0,2025-03-31 07:41:49
30.515,76.659,0.0,50.0,2025-03-31 07:41:49
30.517,76.661,0.0,5.0,2025-03-31 07:41:57
30.519,76.66,0.0,4.0,2025-03-31 07:41:57
30.515,76.659,0.0,50.0,2025-03-31 07:41:57
30.517,76.661,0.0,5.0,2025-03-31 07:41:59
30.519,76.66,0.0,4.0,2025-03-31 07:42:00
30.515,76.659,0.0,50.0,2025-03-31 07:42:00
30.517,76.661,0.0,5.0,2025-03-31 07:42:07
30.519,76.66,0.0,4.0,2025-03-31 07:42:07
30.515,76.659,0.0,50.0,2025-03-31 07:42:07
30.517,76.661,0.0,5.0,2025-03-31 07:42:10
30.519,76.66,0.0,4.0,2025-03-31 07:42:10
30.515,76.659,0.0,50.0,2025-03-31 07:42:10
30.517,76.661,0.0,5.0,2025-03-31 07:42:17
30.519,76.66,0.0,4.0,2025-03-31 07:42:17
30.515,76.659,0.0,50.0,2025-03-31 07:42:17
30.517,76.661,0.0,5.0,2025-03-31 07:42:20
30.519,76.66,0.0,4.0,2025-03-31 07:42:20
30.515,76.659,0.0,50.0,2025-03-31 07:42:20
30.517,76.661,0.0,5.0,2025-03-31 07:42:27
30.519,76.66,0.0,4.0,2025-03-31 07:42:27
30.515,76.659,0.0,50.0,2025-03-31 07:42:27
30.517,76.661,0.0,5.0,2025-03-31 07:42:30
30.519,76.66,0.0,4.0,2025-03-31 07:42:30
30.515,76.659,0.0,50.0,2025-03-31 07:42:30
30.517,76.661,0.0,5.0,2025-03-31 07:42:37
30.519,76.66,0.0,4.0,2025-03-31 07:42:37
30.515,76.659,0.0,50.0,2025-03-31 07:42:37
30.517,76.661,0.0,5.0,2025-03-31 07:42:40
30.519,76.66,0.0,4.0,2025-03-31 07:42:40
30.515,76.659,0.0,50.0,2025-03-31 07:42:40
30.517,76.661,0.0,5.0,2025-03-31 07:42:47
30.519,76.66,0.0,4.0,2025-03-31 07:42:47
30.515,76.659,0.0,50.0,2025-03-31 07:42:47
30.517,76.661,0.0,5.0,2025-03-31 07:42:50
30.519,76.66,0.0,4.0,2025-03-31 07:42:50
30.515,76.659,0.0,50.0,2025-03-31 07:42:50
30.517,76.661,0.0,5.0,2025-03-31 07:42:57
30.519,76.66,0.0,4.0,2025-03-31 07:42:57
30.515,76.659,0.0,50.0,2025-03-31 07:42:57
30.517,76.661,0.0,5.0,2025-03-31 07:43:00
30.519,76.66,0.0,4.0,2025-03-31 07:43:00
30.515,76.659,0.0,50.0,2025-03-31 07:43:00
30.517,76.661,0.0,5.0,2025-03-31 07:43:07
30.519,76.66,0.0,4.0,2025-03-31 07:43:07
30.515,76.659,0.0,50.0,2025-03-31 07:43:07
30.517,76.661,0.0,5.0,2025-03-31 07:43:10
30.519,76.66,0.0,4.0,2025-03-31 07:43:10
30.515,76.659,0.0,50.0,2025-03-31 07:43:10
30.517,76.661,0.0,5.0,2025-03-31 07:43:17
30.519,76.66,0.0,4.0,2025-03-31 07:43:18
30.515,76.659,0.0,50.0,2025-03-31 07:43:18
30.517,76.661,0.0,5.0,2025-03-31 07:43:20
30.519,76.66,0.0,4.0,2025-03-31 07:43:20
30.515,76.659,0.0,50.0,2025-03-31 07:43:20
30.517,76.661,0.0,5.0,2025-03-31 07:43:28
30.519,76.66,0.0,4.0,2025-03-31 07:43:28
30.515,76.659,0.0,50.0,2025-03-31 07:43:28
30.517,76.661,0.0,5.0,2025-03-31 07:43:30
30.519,76.66,0.0,4.0,2025-03-31 07:43:30
30.515,76.659,0.0,50.0,2025-03-31 07:43:30
30.517,76.661,0.0,5.0,2025-03-31 07:43:38
30.519,76.66,0.0,4.0,2025-03-31 07:43:38
30.515,76.659,0.0,50.0,2025-03-31 07:43:38
30.517,76.661,0.0,5.0,2025-03-31 07:43:41
30.519,76.66,0.0,4.0,2025-03-31 07:43:41
30.515,76.659,0.0,50.0,2025-03-31 07:43:41
30.517,76.661,0.0,5.0,2025-03-31 07:43:48
30.519,76.66,0.0,4.0,2025-03-31 07:43:48
30.515,76.659,0.0,50.0,2025-03-31 07:43:48
30.517,76.661,0.0,5.0,2025-03-31 07:43:51
30.519,76.66,0.0,4.0,2025-03-31 07:43:51
30.515,76.659,0.0,50.0,2025-03-31 07:43:51
30.517,76.661,0.0,5.0,2025-03-31 07:43:58
30.519,76.66,0.0,4.0,2025-03-31 07:43:58
30.515,76.659,0.0,50.0,2025-03-31 07:43:58
30.517,76.661,0.0,5.0,2025-03-31 07:44:01
30.519,76.66,0.0,4.0,2025-03-31 07:44:01
30.515,76.659,0.0,50.0,2025-03-31 07:44:01
30.517,76.661,0.0,5.0,2025-03-31 07:44:08
30.519,76.66,0.0,4.0,2025-03-31 07:44:08
30.515,76.659,0.0,50.0,2025-03-31 07:44:08
30.517,76.661,0.0,5.0,2025-03-31 07:44:11
30.519,76.66,0.0,4.0,2025-03-31 07:44:11
30.515,76.659,0.0,50.0,2025-03-31 07:44:11
30.517,76.661,0.0,5.0,2025-03-31 07:44:18
30.519,76.66,0.0,4.0,2025-03-31 07:44:18
30.515,76.659,0.0,50.0,2025-03-31 07:44:18
30.517,76.661,0.0,5.0,2025-03-31 07:44:21
30.519,76.66,0.0,4.0,2025-03-31 07:44:21
30.515,76.659,0.0,50.0,2025-03-31 07:44:21
30.517,76.661,0.0,5.0,2025-03-31 07:44:28
30.519,76.66,0.0,4.0,2025-03-31 07:44:28
30.515,76.659,0.0,50.0,2025-03-31 07:44:28
30.517,76.661,0.0,5.0,2025-03-31 07:44:31
30.519,76.66,0.0,4.0,2025-03-31 07:44:31
30.515,76.659,0.0,50.0,2025-03-31 07:44:31
30.517,76.661,0.0,5.0,2025-03-31 07:44:38
30.519,76.66,0.0,4.0,2025-03-31 07:44:38
30.515,76.659,0.0,50.0,2025-03-31 07:44:38
30.517,76.661,0.0,5.0,2025-03-31 07:44:41
30.519,76.66,0.0,4.0,2025-03-31 07:44:41
30.515,76.659,0.0,50.0,2025-03-31 07:44:41
30.517,76.661,0.0,5.0,2025-03-31 07:44:48
30.519,76.66,0.0,4.0,2025-03-31 07:44:48
30.515,76.659,0.0,50.0,2025-03-31 07:44:48
30.517,76.661,0.0,5.0,2025-03-31 07:44:51
30.519,76.66,0.0,4.0,2025-03-31 07:44:51
30.515,76.659,0.0,50.0,2025-03-31 07:44:51
30.517,76.661,0.0,5.0,2025-03-31 07:44:58
30.519,76.66,0.0,4.0,2025-03-31 07:44:58
30.515,76.659,0.0,50.0,2025-03-31 07:44:58
30.517,76.661,0.0,5.0,2025-03-31 07:45:01
30.519,76.66,0.0,4.0,2025-03-31 07:45:01
30.515,76.659,0.0,50.0,2025-03-31 07:45:01
30.517,76.661,0.0,5.0,2025-03-31 07:45:08
30.519,76.66,0.0,4.0,2025-03-31 07:45:08
30.515,76.659,0.0,50.0,2025-03-31 07:45:08
30.517,76.661,0.0,5.0,2025-03-31 07:45:11
30.519,76.66,0.0,4.0,2025-03-31 07:45:11
30.515,76.659,0.0,50.0,2025-03-31 07:45:11
30.517,76.661,0.0,5.0,2025-03-31 07:45:18
30.519,76.66,0.0,4.0,2025-03-31 07:45:18
30.515,76.659,0.0,50.0,2025-03-31 07:45:18
30.517,76.661,0.0,5.0,2025-03-31 07:45:21
30.519,76.66,0.0,4.0,2025-03-31 07:45:21
30.515,76.659,0.0,50.0,2025-03-31 07:45:21
30.517,76.661,0.0,5.0,2025-03-31 07:45:28
30.519,76.66,0.0,4.0,2025-03-31 07:45:28
30.515,76.659,0.0,50.0,2025-03-31 07:45:29
30.517,76.661,0.0,5.0,2025-03-31 07:45:31
30.519,76.66,0.0,4.0,2025-03-31 07:45:31
30.515,76.659,0.0,50.0,2025-03-31 07:45:31
30.517,76.661,0.0,5.0,2025-03-31 07:45:39
30.519,76.66,0.0,4.0,2025-03-31 07:45:39
30.515,76.659,0.0,50.0,2025-03-31 07:45:39
30.517,76.661,0.0,5.0,2025-03-31 07:45:41
30.519,76.66,0.0,4.0,2025-03-31 07:45:41
30.515,76.659,0.0,50.0,2025-03-31 07:45:41
30.517,76.661,0.0,5.0,2025-03-31 07:45:49
30.519,76.66,0.0,4.0,2025-03-31 07:45:49
30.515,76.659,0.0,50.0,2025-03-31 07:45:49
30.517,76.661,0.0,5.0,2025-03-31 07:45:51
30.519,76.66,0.0,4.0,2025-03-31 07:45:51
30.515,76.659,0.0,50.0,2025-03-31 07:45:51
30.517,76.661,0.0,5.0,2025-03-31 07:45:59
30.519,76.66,0.0,4.0,2025-03-31 07:45:59
30.515,76.659,0.0,50.0,2025-03-31 07:45:59
30.517,76.661,0.0,5.0,2025-03-31 07:46:01
30.519,76.66,0.0,4.0,2025-03-31 07:46:01
30.515,76.659,0.0,50.0,2025-03-31 07:46:01
30.517,76.661,0.0,5.0,2025-03-31 07:46:09
30.519,76.66,0.0,4.0,2025-03-31 07:46:09
30.515,76.659,0.0,50.0,2025-03-31 07:46:09
30.517,76.661,0.0,5.0,2025-03-31 07:46:11
30.519,76.66,0.0,4.0,2025-03-31 07:46:11
30.515,76.659,0.0,50.0,2025-03-31 07:46:11
30.517,76.661,0.0,5.0,2025-03-31 07:46:19
30.519,76.66,0.0,4.0,2025-03-31 07:46:19
30.515,76.659,0.0,50.0,2025-03-31 07:46:19
30.517,76.661,0.0,5.0,2025-03-31 07:46:21
30.519,76.66,0.0,4.0,2025-03-31 07:46:21
30.515,76.659,0.0,50.0,2025-03-31 07:46:21
30.517,76.661,0.0,5.0,2025-03-31 07:46:29
30.519,76.66,0.0,4.0,2025-03-31 07:46:29
30.515,76.659,0.0,50.0,2025-03-31 07:46:29
30.517,76.661,0.0,5.0,2025-03-31 07:46:32
30.519,76.66,0.0,4.0,2025-03-31 07:46:32
30.515,76.659,0.0,50.0,2025-03-31 07:46:32
30.517,76.661,0.0,5.0,2025-03-31 07:46:39
30.519,76.66,0.0,4.0,2025-03-31 07:46:39
30.515,76.659,0.0,50.0,2025-03-31 07:46:39
30.517,76.661,0.0,5.0,2025-03-31 07:46:42
30.519,76.66,0.0,4.0,2025-03-31 07:46:42
30.515,76.659,0.0,50.0,2025-03-31 07:46:42
30.517,76.661,0.0,5.0,2025-03-31 07:46:49
30.519,76.66,0.0,4.0,2025-03-31 07:46:49
30.515,76.659,0.0,50.0,2025-03-31 07:46:49
30.517,76.661,0.0,5.0,2025-03-31 07:46:52
30.519,76.66,0.0,4.0,2025-03-31 07:46:52
30.515,76.659,0.0,50.0,2025-03-31 07:46:52
30.517,76.661,0.0,5.0,2025-03-31 07:46:59
30.519,76.66,0.0,4.0,2025-03-31 07:46:59
30.515,76.659,0.0,50.0,2025-03-31 07:46:59
30.517,76.661,0.0,5.0,2025-03-31 07:47:02
30.519,76.66,0.0,4.0,2025-03-31 07:47:02
30.515,76.659,0.0,50.0,2025-03-31 07:47:02
30.517,76.661,0.0,5.0,2025-03-31 07:47:09
30.519,76.66,0.0,4.0,2025-03-31 07:47:09
30.515,76.659,0.0,50.0,2025-03-31 07:47:09
30.517,76.661,0.0,5.0,2025-03-31 07:47:12
30.519,76.66,0.0,4.0,2025-03-31 07:47:12
30.515,76.659,0.0,50.0,2025-03-31 07:47:12
30.517,76.661,0.0,5.0,2025-03-31 07:47:19
30.519,76.66,0.0,4.0,2025-03-31 07:47:19
30.515,76.659,0.0,50.0,2025-03-31 07:47:19
30.517,76.661,0.0,5.0,2025-03-31 07:47:22
30.519,76.66,0.0,4.0,2025-03-31 07:47:22
30.515,76.659,0.0,50.0,2025-03-31 07:47:22
30.517,76.661,0.0,5.0,2025-03-31 07:47:29
30.519,76.66,0.0,4.0,2025-03-31 07:47:29
30.515,76.659,0.0,50.0,2025-03-31 07:47:29
30.517,76.661,0.0,5.0,2025-03-31 07:47:32
30.519,76.66,0.0,4.0,2025-03-31 07:47:32
30.515,76.659,0.0,50.0,2025-03-31 07:47:32
30.517,76.661,0.0,5.0,2025-03-31 07:47:39
30.519,76.66,0.0,4.0,2025-03-31 07:47:39
30.515,76.659,0.0,50.0,2025-03-31 07:47:39
30.517,76.661,0.0,5.0,2025-03-31 07:47:42
30.519,76.66,0.0,4.0,2025-03-31 07:47:42
30.515,76.659,0.0,50.0,2025-03-31 07:47:42
30.517,76.661,0.0,5.0,2025-03-31 07:47:49
30.519,76.66,0.0,4.0,2025-03-31 07:47:49
30.515,76.659,0.0,50.0,2025-03-31 07:47:49
30.517,76.661,0.0,5.0,2025-03-31 07:47:52
30.519,76.66,0.0,4.0,2025-03-31 07:47:52
30.515,76.659,0.0,50.0,2025-03-31 07:47:52
30.517,76.661,0.0,5.0,2025-03-31 07:47:59
30.519,76.66,0.0,4.0,2025-03-31 07:47:59
30.515,76.659,0.0,50.0,2025-03-31 07:48:00
30.517,76.661,0.0,5.0,2025-03-31 07:48:02
30.519,76.66,0.0,4.0,2025-03-31 07:48:02
30.515,76.659,0.0,50.0,2025-03-31 07:48:02
30.517,76.661,0.0,5.0,2025-03-31 07:48:10
30.519,76.66,0.0,4.0,2025-03-31 07:48:10
30.515,76.659,0.0,50.0,2025-03-31 07:48:10
30.517,76.661,0.0,5.0,2025-03-31 07:48:12
30.519,76.66,0.0,4.0,2025-03-31 07:48:12
30.515,76.659,0.0,50.0,2025-03-31 07:48:12
30.517,76.661,0.0,5.0,2025-03-31 07:48:20
30.519,76.66,0.0,4.0,2025-03-31 07:48:20
30.515,76.659,0.0,50.0,2025-03-31 07:48:20
30.517,76.661,0.0,5.0,2025-03-31 07:48:22
30.519,76.66,0.0,4.0,2025-03-31 07:48:22
30.515,76.659,0.0,50.0,2025-03-31 07:48:22
30.517,76.661,0.0,5.0,2025-03-31 07:48:30
30.519,76.66,0.0,4.0,2025-03-31 07:48:30
30.515,76.659,0.0,50.0,2025-03-31 07:48:30
30.517,76.661,0.0,5.0,2025-03-31 07:48:32
30.519,76.66,0.0,4.0,2025-03-31 07:48:32
30.515,76.659,0.0,50.0,2025-03-31 07:48:32
30.517,76.661,0.0,5.0,2025-03-31 07:48:40
30.519,76.66,0.0,4.0,2025-03-31 07:48:40
30.515,76.659,0.0,50.0,2025-03-31 07:48:40
30.517,76.661,0.0,5.0,2025-03-31 07:48:42
30.519,76.66,0.0,4.0,2025-03-31 07:48:42
30.515,76.659,0.0,50.0,2025-03-31 07:48:42
30.517,76.661,0.0,5.0,2025-03-31 07:48:50
30.519,76.66,0.0,4.0,2025-03-31 07:48:50
30.515,76.659,0.0,50.0,2025-03-31 07:48:50
30.517,76.661,0.0,5.0,2025-03-31 07:48:52
30.519,76.66,0.0,4.0,2025-03-31 07:48:52
30.515,76.659,0.0,50.0,2025-03-31 07:48:52
30.517,76.661,0.0,5.0,2025-03-31 07:49:00
30.519,76.66,0.0,4.0,2025-03-31 07:49:00
30.515,76.659,0.0,50.0,2025-03-31 07:49:00
30.517,76.661,0.0,5.0,2025-03-31 07:49:02
30.519,76.66,0.0,4.0,2025-03-31 07:49:02
30.515,76.659,0.0,50.0,2025-03-31 07:49:02
30.517,76.661,0.0,5.0,2025-03-31 07:49:10
30.519,76.66,0.0,4.0,2025-03-31 07:49:10
30.515,76.659,0.0,50.0,2025-03-31 07:49:10
30.517,76.661,0.0,5.0,2025-03-31 07:49:12
30.519,76.66,0.0,4.0,2025-03-31 07:49:12
30.515,76.659,0.0,50.0,2025-03-31 07:49:12
30.517,76.661,0.0,5.0,2025-03-31 07:49:20
30.519,76.66,0.0,4.0,2025-03-31 07:49:20
30.515,76.659,0.0,50.0,2025-03-31 07:49:20
30.517,76.661,0.0,5.0,2025-03-31 07:49:22
30.519,76.66,0.0,4.0,2025-03-31 07:49:22
30.515,76.659,0.0,50.0,2025-03-31 07:49:22
30.517,76.661,0.0,5.0,2025-03-31 07:49:30
30.519,76.66,0.0,4.0,2025-03-31 07:49:30
30.515,76.659,0.0,50.0,2025-03-31 07:49:30
30.517,76.661,0.0,5.0,2025-03-31 07:49:32
30.519,76.66,0.0,4.0,2025-03-31 07:49:33
30.515,76.659,0.0,50.0,2025-03-31 07:49:33
30.517,76.661,0.0,5.0,2025-03-31 07:49:40
30.519,76.66,0.0,4.0,2025-03-31 07:49:40
30.515,76.659,0.0,50.0,2025-03-31 07:49:40
30.517,76.661,0.0,5.0,2025-03-31 07:49:43
30.519,76.66,0.0,4.0,2025-03-31 07:49:43
30.515,76.659,0.0,50.0,2025-03-31 07:49:43
30.517,76.661,0.0,5.0,2025-03-31 07:49:50
30.519,76.66,0.0,4.0,2025-03-31 07:49:50
30.515,76.659,0.0,50.0,2025-03-31 07:49:50
30.517,76.661,0.0,5.0,2025-03-31 07:49:53
30.519,76.66,0.0,4.0,2025-03-31 07:49:53
30.515,76.659,0.0,50.0,2025-03-31 07:49:53
30.517,76.661,0.0,5.0,2025-03-31 07:50:00
30.519,76.66,0.0,4.0,2025-03-31 07:50:00
30.515,76.659,0.0,50.0,2025-03-31 07:50:00
30.517,76.661,0.0,5.0,2025-03-31 07:50:03
30.519,76.66,0.0,4.0,2025-03-31 07:50:03
30.515,76.659,0.0,50.0,2025-03-31 07:50:03
30.517,76.661,0.0,5.0,2025-03-31 07:50:10
30.519,76.66,0.0,4.0,2025-03-31 07:50:10
30.515,76.659,0.0,50.0,2025-03-31 07:50:10
30.517,76.661,0.0,5.0,2025-03-31 07:50:13
30.519,76.66,0.0,4.0,2025-03-31 07:50:13
30.515,76.659,0.0,50.0,2025-03-31 07:50:13
30.517,76.661,0.0,5.0,2025-03-31 07:50:20
30.519,76.66,0.0,4.0,2025-03-31 07:50:21
30.515,76.659,0.0,50.0,2025-03-31 07:50:21
30.517,76.661,0.0,5.0,2025-03-31 07:50:23
30.519,76.66,0.0,4.0,2025-03-31 07:50:23
30.515,76.659,0.0,50.0,2025-03-31 07:50:23
30.517,76.661,0.0,5.0,2025-03-31 07:50:31
30.519,76.66,0.0,4.0,2025-03-31 07:50:31
30.515,76.659,0.0,50.0,2025-03-31 07:50:31
30.517,76.661,0.0,5.0,2025-03-31 07:50:33
30.519,76.66,0.0,4.0,2025-03-31 07:50:33
30.515,76.659,0.0,50.0,2025-03-31 07:50:33
30.517,76.661,0.0,5.0,2025-03-31 07:50:41
30.519,76.66,0.0,4.0,2025-03-31 07:50:41
30.515,76.659,0.0,50.0,2025-03-31 07:50:41
30.517,76.661,0.0,5.0,2025-03-31 07:50:43
30.519,76.66,0.0,4.0,2025-03-31 07:50:43
30.515,76.659,0.0,50.0,2025-03-31 07:50:43
30.517,76.661,0.0,5.0,2025-03-31 08:11:17
30.519,76.66,0.0,4.0,2025-03-31 08:11:17
30.515,76.659,0.0,50.0,2025-03-31 08:11:17
30.517,76.661,0.0,5.0,2025-03-31 08:11:27
30.519,76.66,0.0,4.0,2025-03-31 08:11:27
30.515,76.659,0.0,50.0,2025-03-31 08:11:27
30.517,76.661,0.0,5.0,2025-03-31 08:11:28
30.519,76.66,0.0,4.0,2025-03-31 08:11:28
30.515,76.659,0.0,50.0,2025-03-31 08:11:28
30.517,76.661,0.0,5.0,2025-03-31 08:11:38
30.519,76.66,0.0,4.0,2025-03-31 08:11:38
30.515,76.659,0.0,50.0,2025-03-31 08:11:38
30.517,76.661,0.0,5.0,2025-03-31 08:11:38
30.519,76.66,0.0,4.0,2025-03-31 08:11:38
30.515,76.659,0.0,50.0,2025-03-31 08:11:38
30.517,76.661,0.0,5.0,2025-03-31 08:11:48
30.519,76.66,0.0,4.0,2025-03-31 08:11:48
30.515,76.659,0.0,50.0,2025-03-31 08:11:48
30.517,76.661,0.0,5.0,2025-03-31 08:11:48
30.519,76.66,0.0,4.0,2025-03-31 08:11:48
30.515,76.659,0.0,50.0,2025-03-31 08:11:48
30.517,76.661,0.0,5.0,2025-03-31 08:11:58
30.519,76.66,0.0,4.0,2025-03-31 08:11:58
30.515,76.659,0.0,50.0,2025-03-31 08:11:58
30.517,76.661,0.0,5.0,2025-03-31 08:11:58
30.519,76.66,0.0,4.0,2025-03-31 08:11:58
30.515,76.659,0.0,50.0,2025-03-31 08:11:58
30.517,76.661,0.0,5.0,2025-03-31 08:12:08
30.519,76.66,0.0,4.0,2025-03-31 08:12:08
30.515,76.659,0.0,50.0,2025-03-31 08:12:08
30.517,76.661,0.0,5.0,2025-03-31 08:12:08
30.519,76.66,0.0,4.0,2025-03-31 08:12:08
30.515,76.659,0.0,50.0,2025-03-31 08:12:09
30.517,76.661,0.0,5.0,2025-03-31 08:12:18
30.519,76.66,0.0,4.0,2025-03-31 08:12:18
30.515,76.659,0.0,50.0,2025-03-31 08:12:18
30.517,76.661,0.0,5.0,2025-03-31 08:12:19
30.519,76.66,0.0,4.0,2025-03-31 08:12:19
30.515,76.659,0.0,50.0,2025-03-31 08:12:19
30.517,76.661,0.0,5.0,2025-03-31 08:12:28
30.519,76.66,0.0,4.0,2025-03-31 08:12:28
30.515,76.659,0.0,50.0,2025-03-31 08:12:28
30.517,76.661,0.0,5.0,2025-03-31 08:12:29
30.519,76.66,0.0,4.0,2025-03-31 08:12:29
30.515,76.659,0.0,50.0,2025-03-31 08:12:29
